CVEGEO,POB_TOT,PSD,POR_PSD
13001,22268,9798,44.00035926
13002,46065,16447,35.70389667
13003,61002,22369,36.66928953
13004,10313,3416,33.12324251
13005,18872,6461,34.23590504
13006,19162,6521,34.03089448
13007,12546,2682,21.37733142
13008,46681,13729,29.41025257
13009,19836,7157,36.08086308
13010,31525,8290,26.29659001
13011,19812,3148,15.88935998
13012,30135,10029,33.28023892
13013,62470,17327,27.73651353
13014,16150,3214,19.90092879
13015,19431,5363,27.60022644
13016,60421,24705,40.88810182
13017,12967,3961,30.54677258
13018,22903,4516,19.71794088
13019,18909,6330,33.47612248
13020,2593,532,20.51677594
13021,15175,3880,25.56836903
13022,16285,5795,35.58489407
13023,36248,10635,29.33954977
13024,17607,6033,34.26478105
13025,20673,2988,14.45363518
13026,12766,1263,9.893467022
13027,22846,2894,12.66742537
13028,126781,23699,18.69286407
13029,47425,13451,28.36267791
13030,98654,37186,37.69335252
13031,12290,1662,13.52318959
13032,10523,1136,10.79540055
13033,2895,738,25.49222798
13034,9474,1701,17.95440152
13035,13078,5788,44.25753173
13036,9449,3075,32.54312626
13037,20962,6998,33.38421906
13038,8878,3219,36.25816625
13039,14324,5137,35.86288746
13040,9819,1145,11.66106528
13041,47222,12763,27.0276566
13042,11578,1695,14.63983417
13043,6265,1106,17.65363128
13044,16948,4405,25.99126741
13045,9295,3505,37.7084454
13046,38492,8939,23.22300738
13047,4748,1364,28.72788543
13048,314331,99443,31.63639603
13049,18723,3091,16.50910645
13050,23641,7674,32.46055581
13051,202749,59328,29.26179661
13052,38891,15445,39.71355841
13053,17699,1855,10.48081813
13054,36796,10666,28.9868464
13055,18329,4673,25.49511703
13056,39561,15106,38.18407017
13057,15142,7167,47.33192445
13058,17441,5355,30.70351471
13059,38010,9524,25.05656406
13060,17503,2194,12.534994
13061,56245,15701,27.91537026
13062,31235,2308,7.38914679
13063,90546,23557,26.01661034
13064,10830,2741,25.30932595
13065,11768,3876,32.9367777
13066,13032,5779,44.34468999
13067,55134,17958,32.57155294
13068,14340,2512,17.51743375
13069,168302,59196,35.17248755
13070,19067,6508,34.13227041
13071,9086,1770,19.48051948
13072,11113,3023,27.2023756
13073,37722,3480,9.225385717
13074,28626,11201,39.12876406
13075,21362,7131,33.38170583
13076,115107,31170,27.07915244
13077,168369,75227,44.67984011
13078,18260,1657,9.074479737
13079,7015,1288,18.36065574
13080,24674,2842,11.51819729
13081,38155,14991,39.28973922
13082,21443,9018,42.05568251
13083,57906,20884,36.06534729
13084,39927,15016,37.60863576
